scene count,release_cuda simulation time,release_cuda total time
4,303498733,304273062
4,303531269,304282843
5,305379207,306133159
6,305624414,306393218
6,304869395,305620993
8,306293408,307100536
9,310746301,311496831
10,312825653,313593837
12,314568155,315321275
13,313386008,314191028
16,315668637,316443759
18,330063789,330811990
21,332086531,332839942
24,332596402,333403964
27,337009916,337760395
32,341735705,342467040
36,353031460,353772379
42,352836901,353587768
48,354080857,354826500
55,361169061,361953169
64,367095883,367895358
73,378342640,379092371
84,386260425,387013585
97,402991687,403744204
111,404206988,404975373
128,412894437,413689756
147,437186221,437979377
168,448286064,449086763
194,462972176,463762707
222,471839748,472635576
256,487113838,487908179
294,490174527,490976107
337,490781570,492575708
388,489485762,490289356
445,489703316,490503130
512,496281951,498085299
588,497936115,498749873
675,499437786,500306408
776,499698457,501562402
891,502193474,504059225
1024,500799176,502583225
1176,500306133,501116602
1351,501056763,501868397
1552,500524293,502330072
1782,500390577,501261268
2048,497539773,499343575
2352,499098157,499897886
2702,499359066,500168339
3104,499849613,500650884
3565,500864715,501674089
4096,507784890,508592014
4705,515753606,516557181
5404,535596173,536453869
6208,553846312,554657197
7131,583492649,584274244
8192,608537214,609338719
9410,629066074,629877819
10809,653372796,654213837
12416,681597146,682423135
14263,717451886,718294625
16384,760377290,761233175
18820,817571664,818433869
21618,888876219,889731234
24833,996616809,997473783
28526,1129334550,1130268727
32768,1295088485,1295952009
37640,1794496927,1795356412
43237,1921005026,1921870423
49667,2053346562,2054234816
57052,2263097244,2263966994
65536,2580209324,2581113823
75281,3185709624,3186581091
86475,3427725419,3429623479
