scene count,release_cuda simulation time,release_cuda total time
4,264446431,265201237
4,263419553,264170264
5,264850113,265603700
6,264750300,265556227
6,264943444,265748784
8,265274874,266024871
9,271635194,272385457
10,272563668,273341340
12,276239443,276989497
13,286667870,287407492
16,287056928,287806916
18,298102971,298883254
21,306146438,306925382
24,300357822,301110026
27,311177121,311944948
32,321839686,322585720
36,335400636,336169257
42,337835803,338583579
48,342549646,343357340
55,441022537,441801195
64,544132525,544942120
73,583933330,584681261
84,680344945,681155102
97,751107661,751860399
111,765281519,766048071
128,785529613,786349240
147,813346710,814140129
168,913052178,913850707
194,955565743,956356096
222,984707824,985501397
256,1020950915,1021745656
294,1026193309,1027010719
337,1027918156,1028729598
388,1027308428,1028107812
445,1026168016,1026966051
512,1116722098,1117518691
588,1120433874,1121257514
675,1120744284,1121608175
776,1122136743,1122935665
891,1121643536,1122459208
1024,1120072197,1120897630
1176,1128386253,1129241542
1351,1126913159,1127753350
1552,1122848887,1123659711
1782,1123006523,1123869985
2048,1117284995,1118059145
2352,1130949380,1131752896
2702,1125962490,1126757778
3104,1128992908,1130816256
3565,1133141798,1133967426
4096,1160111616,1160913910
4705,1178979991,1180801400
5404,1217337394,1219161548
6208,1257119620,1257984480
7131,1282714548,1284528395
8192,1308272095,1309079199
9410,1345290077,1346095348
10809,1381659073,1382506252
12416,1436657008,1437536423
14263,1504664604,1505543461
16384,1627533843,1628384845
18820,1893166683,1894084913
21618,2130446243,2131308798
24833,2659168516,2660027830
28526,3660334497,3662214658
32768,5070737974,5071623093
37640,6994927455,6995795512
43237,7168258593,7169130626
49667,7177734612,7178597084
57052,7887189135,7889073557
65536,10322626558,10323495146
75281,12371902938,12372799972
86475,13279604072,13280483104
